jd,jd_norm,UTC
56982.44541000016,388.9533800003119,2014-11-21 10:41:23.424
57018.40440999996,424.9123800001107,2014-12-27 09:42:21.024
57387.101429999806,793.6093999999575,2015-12-31 02:26:03.552
57042.345389999915,448.85336000006646,2015-01-20 08:17:21.696
58209.023289999925,1615.5312600000761,2018-04-01 00:33:32.256
56920.55225000018,327.0602200003341,2014-09-20 13:15:14.400
57592.4259899999,998.933960000053,2016-07-23 10:13:25.536
56991.441550000105,397.9495200002566,2014-11-30 10:35:49.920
58011.30953999981,1417.8175099999644,2017-09-15 07:25:44.256
57386.22007999988,792.7280500000343,2015-12-30 05:16:54.912
57713.23855999997,1119.7465300001204,2016-11-21 05:43:31.584
56935.5029699998,342.0109399999492,2014-10-05 12:04:16.608
57431.158849999774,837.6668199999258,2016-02-13 03:48:44.640
57802.31006000005,1208.8180300001986,2017-02-18 07:26:29.184
57020.392279999796,426.90024999994785,2014-12-29 09:24:52.992
57312.21382000018,718.7217900003307,2015-10-17 05:07:54.048
57348.2126000002,754.7205700003542,2015-11-22 05:06:08.640
57429.153599999845,835.6615699999966,2016-02-11 03:41:11.040
57234.40694000013,640.9149100002833,2015-07-31 09:45:59.616
57786.086769999936,1192.5947400000878,2017-02-02 02:04:56.928
57840.017119999975,1246.5250900001265,2017-03-28 00:24:39.168
57960.41902999999,1366.9270000001416,2017-07-26 10:03:24.192
57103.054349999875,509.5623200000264,2015-03-22 01:18:15.840
57675.4546500002,1081.962620000355,2016-10-14 10:54:41.760
57401.251159999985,807.7591300001368,2016-01-14 06:01:40.224
57246.61418000003,653.1221500001848,2015-08-12 14:44:25.152
58085.34198000003,1491.849950000178,2017-11-28 08:12:27.072
57291.33507000003,697.8430400001816,2015-09-26 08:02:30.048
57423.15717000002,829.665140000172,2016-02-05 03:46:19.488
58007.3242899999,1413.8322600000538,2017-09-11 07:46:58.656
58033.56784000015,1440.0758100003004,2017-10-07 13:37:41.376
58015.298849999905,1421.8068200000562,2017-09-19 07:10:20.640
57589.43257999979,995.9405499999411,2016-07-20 10:22:54.912
56960.23772000009,366.7456900002435,2014-10-30 05:42:19.008
57485.98628999991,892.494260000065,2016-04-07 23:40:15.456
57706.3688500002,1112.8768200003542,2016-11-14 08:51:08.640
57625.396350000054,1031.9043200002052,2016-08-25 09:30:44.640
57730.13761000009,1136.645580000244,2016-12-08 03:18:09.504
57044.355909999926,450.8638800000772,2015-01-22 08:32:30.624
57737.41820000019,1143.9261700003408,2016-12-15 10:02:12.480
57406.222260000184,812.7302300003357,2016-01-19 05:20:03.264
57484.9949500002,891.5029200003482,2016-04-06 23:52:43.680
57398.25540000014,804.7633700002916,2016-01-11 06:07:46.560
57035.34477999993,441.85275000007823,2015-01-13 08:16:28.992
57445.12583999988,851.6338100000285,2016-02-27 03:01:12.576
57827.076880000066,1233.5848500002176,2017-03-15 01:50:42.432
57258.34785000002,664.8558200001717,2015-08-24 08:20:54.240
57332.3143000002,738.8222700003535,2015-11-06 07:32:35.520
56924.544309999794,331.0522799999453,2014-09-24 13:03:48.384
57329.30178999994,735.809760000091,2015-11-03 07:14:34.656
56891.37045999989,297.8784300000407,2014-08-22 08:53:27.744
57017.1566300001,423.6646000002511,2014-12-26 03:45:32.832
57363.30616000015,769.8141300003044,2015-12-07 07:20:52.224
