RA_ICRS,DE_ICRS,TimeG,Gmag,e_Gmag,TimeBP,BPmag,e_BPmag,TimeRP,RPmag,e_RPmag,BP-RP
86.18467906092,7.0993355086,1717.102578,14.864274,0.0014598188181243,1717.1029,15.652809,0.0076883672659839,1717.103,13.96505,0.0040999899193265,1.6877589999999998
86.18467906092,7.0993355086,1717.176592,14.875309,0.001718378279109,1717.1769,15.682442,0.0076701428568173,1717.177,13.98289,0.0038893803035936,1.6995520000000006
86.18467906092,7.0993355086,1751.490585,15.231045,0.0021008959375626,1751.4909,16.041533,0.0084068839483432,1751.491,14.330193,0.0046496058300826,1.7113400000000016
86.18467906092,7.0993355086,1751.564598,15.223091,0.0019152973611566,1751.5649,16.035864,0.0097857444009425,1751.565,14.32107,0.0043425630225748,1.7147939999999995
86.18467906092,7.0993355086,1878.077661,14.850068,0.0019120313275617,1878.078,15.647804,0.0071440198559211,1878.0781,13.953048,0.0038389889110712,1.694756
86.18467906092,7.0993355086,1906.064287,14.848771,0.0015428576007486,1906.0646,15.648133,0.0073215122396224,1906.0647,13.950077,0.0037817095587664,1.6980559999999993
86.18467906092,7.0993355086,1929.484625,15.223499,0.0008284850112163,1929.4849,16.023193,0.008171480320084,1929.485,14.306393,0.0044355549248875,1.7167999999999992
86.18467906092,7.0993355086,1929.558626,15.225551,0.0053661909760854,1929.5589,16.047005,0.0097660734044444,1929.559,14.318943,0.0047358211303925,1.7280619999999978
86.18467906092,7.0993355086,2074.620778,14.956811,0.006893158079671,2074.6211,15.776672,0.0067099554929443,2074.6212,14.07755,0.0039591998464746,1.6991219999999991
86.18467906092,7.0993355086,2126.289066,14.90085,0.000889817075449,2126.2894,15.733994,0.0069783716304366,2126.2895,13.999632,0.0040381573183931,1.734361999999999
86.18467906092,7.0993355086,2126.363078,14.899408,0.0016786180482849,2126.3634,15.733263,0.0063966167194713,2126.3635,13.995906,0.0036707769879643,1.7373570000000012
86.18467906092,7.0993355086,,,,2253.5516,15.945726,0.0075192117631978,2253.5517,14.246003,0.0042918387176646,1.6997230000000005
86.18467906092,7.0993355086,2253.625283,15.161594,0.0016629062121799,2253.6256,15.970697,0.0077410870490416,2253.6257,14.256944,0.0043370112382676,1.7137529999999987
86.18467906092,7.0993355086,2285.852154,15.100823,0.0019269154400308,2285.8525,15.894032,0.007584524916593,2285.8526,14.209606,0.0042452065731907,1.6844259999999984
86.18467906092,7.0993355086,2286.028295,15.150992,0.0017182358651546,2286.0286,16.01641,0.0129571030750233,2286.0287,14.240649,0.0042350836918839,1.775761000000001
86.18467906092,7.0993355086,2304.103034,15.012026,0.0012803164449525,2304.1033,15.787303,0.0080618264934568,2304.1034,14.111909,0.0039397877424406,1.675393999999999
86.18467906092,7.0993355086,2403.443667,14.911712,0.0010588376067696,2403.444,15.707375,0.0069876071499352,2403.4441,14.019402,0.0039965896590581,1.6879730000000013
86.18467906092,7.0993355086,2403.619838,14.910299,0.0021577911423881,2403.6202,15.648612,0.007225991510207,2403.6202,14.019947,0.0040507925379341,1.6286649999999998
86.18467906092,7.0993355086,2403.693871,14.911883,0.0011707083719672,2403.6942,15.701952,0.0077275769687576,2403.6943,14.015248,0.0038767431393232,1.6867040000000006
86.18467906092,7.0993355086,2403.870018,14.919584,0.0016971710445015,2403.8703,15.739819,0.0068650065176758,2403.8704,14.023383,0.0038115338889452,1.7164359999999999
86.18467906092,7.0993355086,2403.94386,14.91919,0.0042630164594492,2403.9443,15.731052,0.0069475548103494,2403.9444,13.995737,0.0037744914035446,1.735315
86.18467906092,7.0993355086,2408.873379,14.914902,0.001914932728643,2408.8737,15.727877,0.0069714402750114,2408.8738,14.026332,0.003773703430331,1.7015449999999994
86.18467906092,7.0993355086,2409.12353,14.911342,0.0013545396774333,2409.1239,15.711143,0.0067656305475011,2409.124,14.015481,0.0038408146719086,1.6956620000000004
86.18467906092,7.0993355086,2409.197591,14.916425,0.0011586281796044,2409.1979,15.715487,0.007847236220335,2409.198,14.030734,0.003935154879717,1.6847529999999988
86.18467906092,7.0993355086,2409.373741,14.939576,0.0009741037490508,2409.3741,15.724424,0.0081967821166381,2409.3741,14.025531,0.0042784475817011,1.698893
86.18467906092,7.0993355086,2409.447754,14.944419,0.0011013558737064,2409.4481,15.746406,0.0070415201017293,2409.4482,14.028619,0.0040199265480098,1.7177869999999995
86.18467906092,7.0993355086,2450.596193,14.970222,0.0014316906087788,2450.5965,15.773092,0.0071140522776694,2450.5966,14.074873,0.0040038937594861,1.698219
86.18467906092,7.0993355086,2487.078648,15.258299,0.0045527778888884,2487.079,16.076487,0.0078916406114932,2487.0791,14.339753,0.0044582900431666,1.7367340000000002
86.18467906092,7.0993355086,2487.152649,15.228692,0.0221099400561934,2487.153,16.018272,0.0079883811042185,2487.1531,14.321239,0.0044321040531012,1.6970329999999993
86.18467906092,7.0993355086,2499.409236,14.951366,0.0053270636742193,2499.4096,15.761176,0.0065901826469745,2499.4097,14.0477,0.0038542214267088,1.713476
86.18467906092,7.0993355086,2499.585434,14.942715,0.0017430988285756,2499.5857,15.757956,0.0066402733688923,2499.5858,14.039957,0.0038011194390056,1.7179990000000007
86.18467906092,7.0993355086,2584.371713,15.266112,0.0016971435112792,2584.372,16.081334,0.007818564927231,2584.3721,14.361367,0.004419254176882,1.7199669999999987
86.18467906092,7.0993355086,2584.621865,15.21447,0.0015539940158675,,,,,,,
86.18467906092,7.0993355086,2584.695868,15.192424,0.0014337772012996,2584.6962,16.013559,0.0073282717023771,2584.6963,14.285591,0.0042335988973263,1.7279680000000006
